Period,Electricity Cost (£),Electricity Consumption (kwh)
1 January 2023,0.595,0
2 January 2023,0.6,0
3 January 2023,7.96,30
4 January 2023,6,22
5 January 2023,7.47,28
6 January 2023,8.45,32
7 January 2023,8.45,32
8 January 2023,6.73,25
9 January 2023,7.47,28
10 January 2023,7.47,28
11 January 2023,5.51,20
12 January 2023,7.47,28
13 January 2023,7.47,28
14 January 2023,6.98,26
15 January 2023,7.47,28
16 January 2023,7.47,28
17 January 2023,6,22
18 January 2023,6.73,25
19 January 2023,6.73,25
20 January 2023,5.51,20
21 January 2023,5.26,19
22 January 2023,10.17,39
23 January 2023,13.36,52
24 January 2023,10.91,42
25 January 2023,11.4,44
26 January 2023,11.15,43
27 January 2023,11.15,43
28 January 2023,11.15,43
29 January 2023,11.64,45
30 January 2023,15.33,60
31 January 2023,18.03,71
1 February 2023,12.62,49
2 February 2023,10.42,40
3 February 2023,9.68,37
4 February 2023,4.03,14
5 February 2023,8.21,31
6 February 2023,10.53815,40.5
7 February 2023,10.53815,40.5
8 February 2023,10.91,42
9 February 2023,10.42,40
10 February 2023,11.15,43
11 February 2023,11.4,44
12 February 2023,11.4,44
13 February 2023,8.94,34
14 February 2023,9.43,36
15 February 2023,9.19,35
16 February 2023,9.43,36
17 February 2023,9.19,35
18 February 2023,9.68,37
19 February 2023,9.19,35
20 February 2023,9.19,35
21 February 2023,9.19,35
22 February 2023,8.94,34
23 February 2023,9.68,37
24 February 2023,6,22
25 February 2023,2.07,6
26 February 2023,9.43,36
27 February 2023,10.66,41
28 February 2023,11.15,43
1 March 2023,10.42,40
2 March 2023,10.17,39
3 March 2023,10.17,39
4 March 2023,10.42,40
5 March 2023,9.43,36
6 March 2023,10.17,39
7 March 2023,10.91,42
8 March 2023,11.15,43
9 March 2023,10.91,42
10 March 2023,11.15,43
11 March 2023,10.17,39
12 March 2023,10.91,42
13 March 2023,9.68,37
14 March 2023,10.66,41
15 March 2023,11.15,43
16 March 2023,9.19,35
17 March 2023,9.92,38
18 March 2023,9.68,37
19 March 2023,9.68,37
20 March 2023,5.51,20
21 March 2023,6.24,23
22 March 2023,6.24,23
23 March 2023,6.49,24
24 March 2023,6,22
25 March 2023,6.49,24
26 March 2023,6.98,26
27 March 2023,6.73,25
28 March 2023,6.24,23
29 March 2023,6.73,25
30 March 2023,6.24,23
31 March 2023,6.24,23
1 April 2023,6.24,23
2 April 2023,6.24,23
3 April 2023,6.73,25
4 April 2023,6.24,23
5 April 2023,6.98,26
6 April 2023,6.24,23
7 April 2023,3.79,13
8 April 2023,2.8,9
9 April 2023,2.8,9
10 April 2023,2.8,9
11 April 2023,3.05,10
12 April 2023,7.22,27
13 April 2023,5.26,19
14 April 2023,5.26,19
15 April 2023,4.03,14
16 April 2023,1.82,5
17 April 2023,2.07,6
18 April 2023,1.82,5
19 April 2023,2.07,6
20 April 2023,1.82,5
21 April 2023,1.82,5
22 April 2023,2.07,6
23 April 2023,1.82,5
24 April 2023,5.51,20
25 April 2023,5.51,20
26 April 2023,6,22
27 April 2023,6,22
28 April 2023,5.51,20
29 April 2023,5.26,19
30 April 2023,5.26,19
1 May 2023,5.51,20
2 May 2023,5.51,20
3 May 2023,4.52,16
4 May 2023,3.05,10
5 May 2023,2.56,8
6 May 2023,2.56,8
7 May 2023,2.31,7
8 May 2023,5.51,20
9 May 2023,5.26,19
10 May 2023,5.01,18
11 May 2023,5.51,20
12 May 2023,5.26,19
13 May 2023,5.01,18
14 May 2023,5.51,20
15 May 2023,5.01,18
16 May 2023,5.51,20
17 May 2023,5.26,19
18 May 2023,5.01,18
19 May 2023,2.31,7
20 May 2023,2.07,6
21 May 2023,2.31,7
22 May 2023,5.26,19
23 May 2023,5.51,20
24 May 2023,5.01,18
25 May 2023,4.77,17
26 May 2023,5.75,21
27 May 2023,2.8,9
28 May 2023,2.07,6
29 May 2023,4.52,16
30 May 2023,5.75,21
31 May 2023,4.77,17
1 June 2023,2.8,9
2 June 2023,2.31,7
3 June 2023,2.56,8
4 June 2023,2.31,7
5 June 2023,3.05,10
6 June 2023,2.56,8
7 June 2023,2.31,7
8 June 2023,2.07,6
9 June 2023,2.8,9
10 June 2023,2.56,8
11 June 2023,2.8,9
12 June 2023,2.8,9
13 June 2023,2.56,8
14 June 2023,2.56,8
15 June 2023,2.31,7
16 June 2023,2.56,8
17 June 2023,2.07,6
18 June 2023,2.07,6
19 June 2023,2.07,6
20 June 2023,2.56,8
21 June 2023,2.31,7
22 June 2023,2.56,8
23 June 2023,2.31,7
24 June 2023,2.8,9
25 June 2023,2.56,8
26 June 2023,2.56,8
27 June 2023,2.56,8
28 June 2023,2.31,7
29 June 2023,3.05,10
30 June 2023,2.8,9
1 July 2023,2.56,8
2 July 2023,2.56,8
3 July 2023,3.05,10
